id,subject,body,label,email_text
11,Reminder: Doctor's Appointment on Monday,"Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions.",legitimate,"Reminder: Doctor's Appointment on Monday Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions."
12,You've Won a $1000 Gift Card - Claim Now!,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://apple-id-unlock.co/signin and login with your credentials to upgrade your storage now.,phishing,You've Won a $1000 Gift Card - Claim Now! This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://apple-id-unlock.co/signin and login with your credentials to upgrade your storage now.
13,Urgent: Your Account Will Be Suspended,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://bankofamerica-alert.info/verify to receive the funds today.,phishing,Urgent: Your Account Will Be Suspended Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://bankofamerica-alert.info/verify to receive the funds today.
14,Your Package Could Not Be Delivered - Confirm Address,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://secure-verify-account.com/login and login with your credentials to upgrade your storage now.,phishing,Your Package Could Not Be Delivered - Confirm Address This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://secure-verify-account.com/login and login with your credentials to upgrade your storage now.
15,Lunch this Friday?,"Hi team, just a reminder that our meeting has been moved to 3 PM tomorrow in conference room B. Please review the attached agenda before joining.",legitimate,"Lunch this Friday? Hi team, just a reminder that our meeting has been moved to 3 PM tomorrow in conference room B. Please review the attached agenda before joining."
16,Reminder: Doctor's Appointment on Monday,"Hey, are you free for lunch this Friday around 1 PM? I was thinking we could try the new place downtown.",legitimate,"Reminder: Doctor's Appointment on Monday Hey, are you free for lunch this Friday around 1 PM? I was thinking we could try the new place downtown."
17,Your Netflix Subscription Payment Failed,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://secure-verify-account.com/login by end of day.",phishing,"Your Netflix Subscription Payment Failed As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://secure-verify-account.com/login by end of day."
18,Your Netflix Subscription Payment Failed,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://netflix-billing-update.xyz/pay and login with your credentials to upgrade your storage now.,phishing,Your Netflix Subscription Payment Failed This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://netflix-billing-update.xyz/pay and login with your credentials to upgrade your storage now.
19,IMPORTANT: Your PayPal Account Has Been Limited,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://secure-verify-account.com/login to receive the funds today.,phishing,IMPORTANT: Your PayPal Account Has Been Limited Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://secure-verify-account.com/login to receive the funds today.
20,Thanks for Attending Our Webinar,"Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached.",legitimate,"Thanks for Attending Our Webinar Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached."
21,Immediate Action Needed: Tax Refund Pending,"Congratulations! Your email has been randomly selected to win a $500 Amazon Voucher. To claim your reward, please provide your bank details and click here: http://secure-verify-account.com/login",phishing,"Immediate Action Needed: Tax Refund Pending Congratulations! Your email has been randomly selected to win a $500 Amazon Voucher. To claim your reward, please provide your bank details and click here: http://secure-verify-account.com/login"
22,Password Expiry Notice - Reset Now to Avoid Lockout,Your Apple ID has been locked for security reasons. Click http://netflix-billing-update.xyz/pay and sign in with your Apple ID and password to unlock your account instantly.,phishing,Password Expiry Notice - Reset Now to Avoid Lockout Your Apple ID has been locked for security reasons. Click http://netflix-billing-update.xyz/pay and sign in with your Apple ID and password to unlock your account instantly.
23,Monthly Statement Now Available,Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.,legitimate,Monthly Statement Now Available Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.
24,Action Required: Verify Your Bank Account Now,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://netflix-billing-update.xyz/pay by end of day.",phishing,"Action Required: Verify Your Bank Account Now As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://netflix-billing-update.xyz/pay by end of day."
25,You've Won a $1000 Gift Card - Claim Now!,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://bankofamerica-alert.info/verify and login with your credentials to upgrade your storage now.,phishing,You've Won a $1000 Gift Card - Claim Now! This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://bankofamerica-alert.info/verify and login with your credentials to upgrade your storage now.
26,HR Notice: Update Your Payroll Details Immediately,Your Apple ID has been locked for security reasons. Click http://amazon-order-issue.support/reactivate and sign in with your Apple ID and password to unlock your account instantly.,phishing,HR Notice: Update Your Payroll Details Immediately Your Apple ID has been locked for security reasons. Click http://amazon-order-issue.support/reactivate and sign in with your Apple ID and password to unlock your account instantly.
27,Immediate Action Needed: Tax Refund Pending,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://bankofamerica-alert.info/verify to receive the funds today.,phishing,Immediate Action Needed: Tax Refund Pending Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://bankofamerica-alert.info/verify to receive the funds today.
28,Reminder: Doctor's Appointment on Monday,Your flight itinerary is confirmed for next Tuesday. Departure is at 9:15 AM. Please arrive at the airport at least two hours before departure.,legitimate,Reminder: Doctor's Appointment on Monday Your flight itinerary is confirmed for next Tuesday. Departure is at 9:15 AM. Please arrive at the airport at least two hours before departure.
29,Reminder: Doctor's Appointment on Monday,Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.,legitimate,Reminder: Doctor's Appointment on Monday Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.
30,Notes from Today's Standup Meeting,Your flight itinerary is confirmed for next Tuesday. Departure is at 9:15 AM. Please arrive at the airport at least two hours before departure.,legitimate,Notes from Today's Standup Meeting Your flight itinerary is confirmed for next Tuesday. Departure is at 9:15 AM. Please arrive at the airport at least two hours before departure.
31,Meeting Rescheduled to 3 PM Tomorrow,"Hi, your recent order #7475 has shipped and is expected to arrive within 3-5 business days. You can track it using the tracking number provided in your account.",legitimate,"Meeting Rescheduled to 3 PM Tomorrow Hi, your recent order #7475 has shipped and is expected to arrive within 3-5 business days. You can track it using the tracking number provided in your account."
32,Password Expiry Notice - Reset Now to Avoid Lockout,"We were unable to process your recent payment. Please update your billing information within 48 hours by visiting http://paypal-update-info.net/confirm, or your subscription will be cancelled.",phishing,"Password Expiry Notice - Reset Now to Avoid Lockout We were unable to process your recent payment. Please update your billing information within 48 hours by visiting http://paypal-update-info.net/confirm, or your subscription will be cancelled."
33,Your Apple ID Has Been Locked,"Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://secure-verify-account.com/login immediately and enter your password to secure your account.",phishing,"Your Apple ID Has Been Locked Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://secure-verify-account.com/login immediately and enter your password to secure your account."
34,Urgent: Your Account Will Be Suspended,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://irs-refund-claim.online/verify by end of day.",phishing,"Urgent: Your Account Will Be Suspended As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://irs-refund-claim.online/verify by end of day."
35,Meeting Rescheduled to 3 PM Tomorrow,Your monthly account statement is now available in your online banking portal under the statements section.,legitimate,Meeting Rescheduled to 3 PM Tomorrow Your monthly account statement is now available in your online banking portal under the statements section.
36,Your Package Could Not Be Delivered - Confirm Address,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://netflix-billing-update.xyz/pay to receive the funds today.,phishing,Your Package Could Not Be Delivered - Confirm Address Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://netflix-billing-update.xyz/pay to receive the funds today.
37,Reminder: Submit Timesheet by EOD,"Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions.",legitimate,"Reminder: Submit Timesheet by EOD Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions."
38,HR Notice: Update Your Payroll Details Immediately,"Dear user, your parcel is on hold at the courier facility due to unpaid customs fee of $2.99. Pay now at http://apple-id-unlock.co/signin to release your package.",phishing,"HR Notice: Update Your Payroll Details Immediately Dear user, your parcel is on hold at the courier facility due to unpaid customs fee of $2.99. Pay now at http://apple-id-unlock.co/signin to release your package."
39,IMPORTANT: Your PayPal Account Has Been Limited,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://irs-refund-claim.online/verify by end of day.",phishing,"IMPORTANT: Your PayPal Account Has Been Limited As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://irs-refund-claim.online/verify by end of day."
40,Action Required: Verify Your Bank Account Now,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://paypal-update-info.net/confirm to receive the funds today.,phishing,Action Required: Verify Your Bank Account Now Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://paypal-update-info.net/confirm to receive the funds today.
41,Password Expiry Notice - Reset Now to Avoid Lockout,"Congratulations! Your email has been randomly selected to win a Vacation Package to Bahamas. To claim your reward, please provide your bank details and click here: http://irs-refund-claim.online/verify",phishing,"Password Expiry Notice - Reset Now to Avoid Lockout Congratulations! Your email has been randomly selected to win a Vacation Package to Bahamas. To claim your reward, please provide your bank details and click here: http://irs-refund-claim.online/verify"
42,Project Status Update - Q3 Report,Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.,legitimate,Project Status Update - Q3 Report Congratulations on your well-deserved promotion to Senior Engineer! The whole team is proud of your hard work this year.
43,You've Won a $1000 Gift Card - Claim Now!,"Dear user, your parcel is on hold at the courier facility due to unpaid customs fee of $2.99. Pay now at http://secure-verify-account.com/login to release your package.",phishing,"You've Won a $1000 Gift Card - Claim Now! Dear user, your parcel is on hold at the courier facility due to unpaid customs fee of $2.99. Pay now at http://secure-verify-account.com/login to release your package."
44,Your Flight Itinerary Confirmation,Please find attached invoice #5831 for services rendered last month. Let us know if you have any questions regarding the charges.,legitimate,Your Flight Itinerary Confirmation Please find attached invoice #5831 for services rendered last month. Let us know if you have any questions regarding the charges.
45,Lunch this Friday?,"Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions.",legitimate,"Lunch this Friday? Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions."
46,Final Notice: Update Your Payment Information,Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://apple-id-unlock.co/signin to restore access.,phishing,Final Notice: Update Your Payment Information Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://apple-id-unlock.co/signin to restore access.
47,Urgent: Your Account Will Be Suspended,Your Apple ID has been locked for security reasons. Click http://amazon-order-issue.support/reactivate and sign in with your Apple ID and password to unlock your account instantly.,phishing,Urgent: Your Account Will Be Suspended Your Apple ID has been locked for security reasons. Click http://amazon-order-issue.support/reactivate and sign in with your Apple ID and password to unlock your account instantly.
48,Invoice #4521 Attached,"Hi team, just a reminder that our meeting has been moved to 3 PM tomorrow in conference room B. Please review the attached agenda before joining.",legitimate,"Invoice #4521 Attached Hi team, just a reminder that our meeting has been moved to 3 PM tomorrow in conference room B. Please review the attached agenda before joining."
49,HR Notice: Update Your Payroll Details Immediately,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://irs-refund-claim.online/verify and login with your credentials to upgrade your storage now.,phishing,HR Notice: Update Your Payroll Details Immediately This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://irs-refund-claim.online/verify and login with your credentials to upgrade your storage now.
50,IMPORTANT: Your PayPal Account Has Been Limited,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://apple-id-unlock.co/signin by end of day.",phishing,"IMPORTANT: Your PayPal Account Has Been Limited As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://apple-id-unlock.co/signin by end of day."
51,Immediate Action Needed: Tax Refund Pending,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://apple-id-unlock.co/signin and login with your credentials to upgrade your storage now.,phishing,Immediate Action Needed: Tax Refund Pending This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://apple-id-unlock.co/signin and login with your credentials to upgrade your storage now.
52,Invoice #4521 Attached,"Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached.",legitimate,"Invoice #4521 Attached Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached."
53,Your Netflix Subscription Payment Failed,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://secure-verify-account.com/login and login with your credentials to upgrade your storage now.,phishing,Your Netflix Subscription Payment Failed This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://secure-verify-account.com/login and login with your credentials to upgrade your storage now.
54,You've Won a $1000 Gift Card - Claim Now!,"Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://apple-id-unlock.co/signin immediately and enter your password to secure your account.",phishing,"You've Won a $1000 Gift Card - Claim Now! Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://apple-id-unlock.co/signin immediately and enter your password to secure your account."
55,IMPORTANT: Your PayPal Account Has Been Limited,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://paypal-update-info.net/confirm and login with your credentials to upgrade your storage now.,phishing,IMPORTANT: Your PayPal Account Has Been Limited This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://paypal-update-info.net/confirm and login with your credentials to upgrade your storage now.
56,Action Required: Verify Your Bank Account Now,Your Apple ID has been locked for security reasons. Click http://secure-verify-account.com/login and sign in with your Apple ID and password to unlock your account instantly.,phishing,Action Required: Verify Your Bank Account Now Your Apple ID has been locked for security reasons. Click http://secure-verify-account.com/login and sign in with your Apple ID and password to unlock your account instantly.
57,Final Notice: Update Your Payment Information,"Dear user, your parcel is on hold at the courier facility due to unpaid customs fee of $2.99. Pay now at http://amazon-order-issue.support/reactivate to release your package.",phishing,"Final Notice: Update Your Payment Information Dear user, your parcel is on hold at the courier facility due to unpaid customs fee of $2.99. Pay now at http://amazon-order-issue.support/reactivate to release your package."
58,Your Order Has Shipped,"Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached.",legitimate,"Your Order Has Shipped Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached."
59,Action Required: Verify Your Bank Account Now,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://paypal-update-info.net/confirm and login with your credentials to upgrade your storage now.,phishing,Action Required: Verify Your Bank Account Now This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://paypal-update-info.net/confirm and login with your credentials to upgrade your storage now.
60,Your Apple ID Has Been Locked,Your Apple ID has been locked for security reasons. Click http://apple-id-unlock.co/signin and sign in with your Apple ID and password to unlock your account instantly.,phishing,Your Apple ID Has Been Locked Your Apple ID has been locked for security reasons. Click http://apple-id-unlock.co/signin and sign in with your Apple ID and password to unlock your account instantly.
61,HR Notice: Update Your Payroll Details Immediately,Your Apple ID has been locked for security reasons. Click http://irs-refund-claim.online/verify and sign in with your Apple ID and password to unlock your account instantly.,phishing,HR Notice: Update Your Payroll Details Immediately Your Apple ID has been locked for security reasons. Click http://irs-refund-claim.online/verify and sign in with your Apple ID and password to unlock your account instantly.
62,Invoice #4521 Attached,"Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions.",legitimate,"Invoice #4521 Attached Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions."
63,Welcome to the Team!,"Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions.",legitimate,"Welcome to the Team! Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions."
64,Reminder: Submit Timesheet by EOD,Please find attached invoice #9903 for services rendered last month. Let us know if you have any questions regarding the charges.,legitimate,Reminder: Submit Timesheet by EOD Please find attached invoice #9903 for services rendered last month. Let us know if you have any questions regarding the charges.
65,Your Amazon Order Could Not Be Processed,"Dear Customer, we detected unusual activity on your account. Click the link below to verify your identity within 24 hours or your account will be permanently suspended. http://amazon-order-issue.support/reactivate",phishing,"Your Amazon Order Could Not Be Processed Dear Customer, we detected unusual activity on your account. Click the link below to verify your identity within 24 hours or your account will be permanently suspended. http://amazon-order-issue.support/reactivate"
66,Your Invoice is Overdue - Pay Immediately,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://netflix-billing-update.xyz/pay to receive the funds today.,phishing,Your Invoice is Overdue - Pay Immediately Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://netflix-billing-update.xyz/pay to receive the funds today.
67,Congratulations! You Are Selected for a Cash Prize,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://netflix-billing-update.xyz/pay and login with your credentials to upgrade your storage now.,phishing,Congratulations! You Are Selected for a Cash Prize This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://netflix-billing-update.xyz/pay and login with your credentials to upgrade your storage now.
68,Your Invoice is Overdue - Pay Immediately,"Dear Customer, we detected unusual activity on your account. Click the link below to verify your identity within 24 hours or your account will be permanently suspended. http://secure-verify-account.com/login",phishing,"Your Invoice is Overdue - Pay Immediately Dear Customer, we detected unusual activity on your account. Click the link below to verify your identity within 24 hours or your account will be permanently suspended. http://secure-verify-account.com/login"
69,Your Amazon Order Could Not Be Processed,"Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://bankofamerica-alert.info/verify immediately and enter your password to secure your account.",phishing,"Your Amazon Order Could Not Be Processed Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://bankofamerica-alert.info/verify immediately and enter your password to secure your account."
70,Thanks for Attending Our Webinar,"Hi everyone, here is this week's newsletter with updates from each department. Please read through it and reach out to your manager with any questions.",legitimate,"Thanks for Attending Our Webinar Hi everyone, here is this week's newsletter with updates from each department. Please read through it and reach out to your manager with any questions."
71,Reminder: Submit Timesheet by EOD,This is a reminder about your doctor's appointment scheduled for Monday at 10:30 AM. Please arrive 15 minutes early to complete paperwork.,legitimate,Reminder: Submit Timesheet by EOD This is a reminder about your doctor's appointment scheduled for Monday at 10:30 AM. Please arrive 15 minutes early to complete paperwork.
72,Your Flight Itinerary Confirmation,Please find attached invoice #6400 for services rendered last month. Let us know if you have any questions regarding the charges.,legitimate,Your Flight Itinerary Confirmation Please find attached invoice #6400 for services rendered last month. Let us know if you have any questions regarding the charges.
73,HR Notice: Update Your Payroll Details Immediately,Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://apple-id-unlock.co/signin to restore access.,phishing,HR Notice: Update Your Payroll Details Immediately Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://apple-id-unlock.co/signin to restore access.
74,Thanks for Attending Our Webinar,"Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions.",legitimate,"Thanks for Attending Our Webinar Hello, I wanted to share the Q3 project status report. Overall we are on track, with a few items pending review from the design team. Let me know if you have questions."
75,Urgent: Your Account Will Be Suspended,"Dear Customer, we detected unusual activity on your account. Click the link below to verify your identity within 24 hours or your account will be permanently suspended. http://secure-verify-account.com/login",phishing,"Urgent: Your Account Will Be Suspended Dear Customer, we detected unusual activity on your account. Click the link below to verify your identity within 24 hours or your account will be permanently suspended. http://secure-verify-account.com/login"
76,Final Notice: Update Your Payment Information,"We were unable to process your recent payment. Please update your billing information within 48 hours by visiting http://apple-id-unlock.co/signin, or your subscription will be cancelled.",phishing,"Final Notice: Update Your Payment Information We were unable to process your recent payment. Please update your billing information within 48 hours by visiting http://apple-id-unlock.co/signin, or your subscription will be cancelled."
77,Password Expiry Notice - Reset Now to Avoid Lockout,"Congratulations! Your email has been randomly selected to win a $500 Amazon Voucher. To claim your reward, please provide your bank details and click here: http://paypal-update-info.net/confirm",phishing,"Password Expiry Notice - Reset Now to Avoid Lockout Congratulations! Your email has been randomly selected to win a $500 Amazon Voucher. To claim your reward, please provide your bank details and click here: http://paypal-update-info.net/confirm"
78,Your Order Has Shipped,Please find attached invoice #6927 for services rendered last month. Let us know if you have any questions regarding the charges.,legitimate,Your Order Has Shipped Please find attached invoice #6927 for services rendered last month. Let us know if you have any questions regarding the charges.
79,Notes from Today's Standup Meeting,This is a reminder about your doctor's appointment scheduled for Monday at 10:30 AM. Please arrive 15 minutes early to complete paperwork.,legitimate,Notes from Today's Standup Meeting This is a reminder about your doctor's appointment scheduled for Monday at 10:30 AM. Please arrive 15 minutes early to complete paperwork.
80,Security Alert: Unusual Sign-in Activity Detected,"Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://irs-refund-claim.online/verify immediately and enter your password to secure your account.",phishing,"Security Alert: Unusual Sign-in Activity Detected Security Alert: Someone tried to access your account from an unrecognized device. If this wasn't you, click http://irs-refund-claim.online/verify immediately and enter your password to secure your account."
81,Your Flight Itinerary Confirmation,"Hi, your recent order #4817 has shipped and is expected to arrive within 3-5 business days. You can track it using the tracking number provided in your account.",legitimate,"Your Flight Itinerary Confirmation Hi, your recent order #4817 has shipped and is expected to arrive within 3-5 business days. You can track it using the tracking number provided in your account."
82,Notes from Today's Standup Meeting,"Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached.",legitimate,"Notes from Today's Standup Meeting Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached."
83,Immediate Action Needed: Tax Refund Pending,This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://bankofamerica-alert.info/verify and login with your credentials to upgrade your storage now.,phishing,Immediate Action Needed: Tax Refund Pending This is an urgent notice from the IT department. Your mailbox will exceed its limit. Click http://bankofamerica-alert.info/verify and login with your credentials to upgrade your storage now.
84,Your Netflix Subscription Payment Failed,Your Apple ID has been locked for security reasons. Click http://secure-verify-account.com/login and sign in with your Apple ID and password to unlock your account instantly.,phishing,Your Netflix Subscription Payment Failed Your Apple ID has been locked for security reasons. Click http://secure-verify-account.com/login and sign in with your Apple ID and password to unlock your account instantly.
85,Immediate Action Needed: Tax Refund Pending,Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://bankofamerica-alert.info/verify to restore access.,phishing,Immediate Action Needed: Tax Refund Pending Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://bankofamerica-alert.info/verify to restore access.
86,Your Flight Itinerary Confirmation,"Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached.",legitimate,"Your Flight Itinerary Confirmation Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached."
87,Security Alert: Unusual Sign-in Activity Detected,Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://netflix-billing-update.xyz/pay to restore access.,phishing,Security Alert: Unusual Sign-in Activity Detected Your account has been temporarily limited due to suspicious login attempts. Please confirm your password and card number immediately at http://netflix-billing-update.xyz/pay to restore access.
88,Reminder: Doctor's Appointment on Monday,Please find attached invoice #1430 for services rendered last month. Let us know if you have any questions regarding the charges.,legitimate,Reminder: Doctor's Appointment on Monday Please find attached invoice #1430 for services rendered last month. Let us know if you have any questions regarding the charges.
89,Urgent: Your Account Will Be Suspended,Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://irs-refund-claim.online/verify to receive the funds today.,phishing,Urgent: Your Account Will Be Suspended Your tax refund of $850.00 is ready for direct deposit. Verify your identity and bank account number at http://irs-refund-claim.online/verify to receive the funds today.
90,Weekly Newsletter: Team Updates,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details and your first week schedule.,legitimate,Weekly Newsletter: Team Updates Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details and your first week schedule.
91,Your Flight Itinerary Confirmation,"Hi, your recent order #8030 has shipped and is expected to arrive within 3-5 business days. You can track it using the tracking number provided in your account.",legitimate,"Your Flight Itinerary Confirmation Hi, your recent order #8030 has shipped and is expected to arrive within 3-5 business days. You can track it using the tracking number provided in your account."
92,Welcome to the Team!,"Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached.",legitimate,"Welcome to the Team! Sharing the notes from today's standup: we discussed sprint progress, blockers, and next steps for the release. Full notes are attached."
93,Your Apple ID Has Been Locked,"As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://paypal-update-info.net/confirm by end of day.",phishing,"Your Apple ID Has Been Locked As part of our annual audit, HR requires all employees to re-confirm payroll and social security details via the secure portal at http://paypal-update-info.net/confirm by end of day."
